Sr.No,Round,Institute,Program,Stream,Quota,Category,Seat Gender,Opening Rank,Closing Rank,Remark
1,Round 1,"GREATER NOIDA INSTITUTE OF TECHNOLOGY,GAUTAM BUDDH NAGAR",Electronics and Communication Engineering,B.Tech,Home State,BC,Both Male and Female Seats,1353619.0,1353619.0,&nbsp;
2,Round 1,"GREATER NOIDA INSTITUTE OF TECHNOLOGY,GAUTAM BUDDH NAGAR",Electronics and Communication Engineering,B.Tech,Home State,EWS(OPEN),Both Male and Female Seats,1383117.0,1383117.0,&nbsp;
3,Round 1,"GREATER NOIDA INSTITUTE OF TECHNOLOGY,GAUTAM BUDDH NAGAR",Information Technology,B.Tech,All India,OPEN,Both Male and Female Seats,181615.0,367778.0,&nbsp;
4,Round 1,"GREATER NOIDA INSTITUTE OF TECHNOLOGY,GAUTAM BUDDH NAGAR",Computer Science And Engineering(Artificial Intelligence &amp; Machine Learning),B.Tech,Home State,BC(Girl),Female Seats,885053.0,952014.0,&nbsp;
5,Round 1,"GREATER NOIDA INSTITUTE OF TECHNOLOGY,GAUTAM BUDDH NAGAR",Computer Science &amp; Engineering (Cyber Security),B.Tech,Home State,EWS(OPEN),Both Male and Female Seats,836082.0,857304.0,&nbsp;
6,Round 1,"INSTITUTE OF TECHNOLOGY &amp; MANAGEMENT,LUCKNOW",Information Technology,B.Tech,Home State,OPEN,Both Male and Female Seats,295576.0,562068.0,&nbsp;
7,Round 1,"HARDAYAL TECHNICAL CAMPUS,MATHURA",Electrical &amp; Electronics Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,627364.0,627364.0,&nbsp;
8,Round 1,"GREATER NOIDA INSTITUTE OF TECHNOLOGY,GAUTAM BUDDH NAGAR",Information Technology,B.Tech,Home State,BC(Girl),Female Seats,787544.0,1006054.0,&nbsp;
9,Round 1,"GREATER NOIDA INSTITUTE OF TECHNOLOGY,GAUTAM BUDDH NAGAR",Artificial Inelligence (AI) And Data Science,B.Tech,Home State,EWS(GL),Female Seats,1115606.0,1115606.0,&nbsp;
10,Round 1,"GREATER NOIDA INSTITUTE OF TECHNOLOGY,GAUTAM BUDDH NAGAR",Computer Science And Engineering(Artificial Intelligence &amp; Machine Learning),B.Tech,All India,OPEN,Both Male and Female Seats,166304.0,336493.0,&nbsp;
11,Round 1,"LUCKNOW INSTITUTE OF TECHNOLOGY,LUCKNOW",Electronics and Communication Engineering,B.Tech,Home State,BC(Girl),Female Seats,650434.0,650434.0,&nbsp;
